epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,24914.9,0.6303,0.50714,1.04249,0.98289,0.82882,0.92317,0.76428,0.73796,0.55212,1.05076,0.000278369,0.000278369,0.000278369
124,25115.4,0.65179,0.50693,1.02711,0.93293,0.88949,0.92796,0.77254,0.65154,0.56377,0.99401,0.000268938,0.000268938,0.000268938
125,25315.9,0.6524,0.50345,1.05057,0.96089,0.87477,0.93832,0.78796,0.71596,0.5866,1.06432,0.000259506,0.000259506,0.000259506
126,25516.6,0.62898,0.48645,1.03369,0.97927,0.8963,0.92779,0.76869,0.72077,0.50873,1.07745,0.000250075,0.000250075,0.000250075
127,25716.9,0.66472,0.51677,1.04669,0.94439,0.8963,0.94438,0.77009,0.69976,0.48967,1.0713,0.000240644,0.000240644,0.000240644
128,25917.4,0.65665,0.49,1.03024,0.9334,0.885,0.94035,0.80518,0.68326,0.52083,1.05111,0.000231212,0.000231212,0.000231212
129,26118,0.6165,0.48038,1.0212,0.92218,0.90977,0.95442,0.79751,0.66223,0.50283,1.04566,0.000221781,0.000221781,0.000221781
130,26318.2,0.61203,0.48428,1.03586,0.87051,0.86672,0.92972,0.77486,0.70251,0.537,1.07826,0.000212349,0.000212349,0.000212349
131,26518.1,0.58932,0.46127,1.00353,0.96663,0.81566,0.90722,0.75571,0.69895,0.59377,1.06934,0.000202918,0.000202918,0.000202918
132,26718.5,0.60558,0.49971,1.01593,0.89377,0.88402,0.93469,0.77046,0.69832,0.57668,1.04842,0.000193487,0.000193487,0.000193487
133,26919.1,0.6281,0.50014,1.03461,0.97635,0.82593,0.90886,0.7831,0.68092,0.56149,1.06459,0.000184055,0.000184055,0.000184055
134,27119.4,0.61374,0.48224,1.00656,0.90558,0.91753,0.94141,0.78987,0.68274,0.52677,1.05981,0.000174624,0.000174624,0.000174624
135,27319.1,0.61353,0.46797,1.01227,0.97686,0.85503,0.92544,0.78293,0.65027,0.53394,1.04502,0.000165192,0.000165192,0.000165192
136,27519.8,0.59108,0.46341,1.01581,0.97731,0.80184,0.91644,0.77653,0.6645,0.57584,1.07294,0.000155761,0.000155761,0.000155761
137,27720.6,0.61711,0.489,1.01749,0.94353,0.84933,0.89748,0.77914,0.70305,0.69104,1.11511,0.00014633,0.00014633,0.00014633
138,27922.1,0.58483,0.4423,1.01127,0.95199,0.85049,0.92275,0.78559,0.70754,0.57394,1.10919,0.000136898,0.000136898,0.000136898
139,28124.1,0.60986,0.45973,1.0202,0.91101,0.91113,0.9322,0.799,0.69008,0.5433,1.08694,0.000127467,0.000127467,0.000127467
140,28326.9,0.59892,0.47618,1.01219,0.91531,0.88185,0.90956,0.77551,0.68336,0.60239,1.07822,0.000118035,0.000118035,0.000118035
141,28528.9,0.46232,0.33578,0.9555,0.97308,0.8003,0.90951,0.77339,0.72618,0.59851,1.08991,0.000108604,0.000108604,0.000108604
142,28731.6,0.44598,0.31279,0.93446,0.9715,0.80669,0.92234,0.78236,0.68941,0.55793,1.07978,9.91726e-05,9.91726e-05,9.91726e-05
143,28933.7,0.44681,0.31477,0.93905,0.90066,0.86526,0.92209,0.79385,0.68514,0.55786,1.0714,8.97412e-05,8.97412e-05,8.97412e-05
144,29136.7,0.43026,0.30499,0.93518,0.91037,0.91623,0.92682,0.78239,0.69134,0.55835,1.06323,8.03098e-05,8.03098e-05,8.03098e-05
145,29339,0.42299,0.2972,0.92736,0.91434,0.91309,0.93455,0.79739,0.69869,0.54833,1.0624,7.08784e-05,7.08784e-05,7.08784e-05
146,29541.8,0.42099,0.29097,0.93027,0.92254,0.90993,0.93897,0.79244,0.67752,0.5125,1.0502,6.1447e-05,6.1447e-05,6.1447e-05
147,29745.7,0.42056,0.29561,0.92739,0.92846,0.90402,0.94211,0.79452,0.66475,0.48789,1.04807,5.20156e-05,5.20156e-05,5.20156e-05
148,29948.5,0.42833,0.296,0.9292,0.92816,0.90793,0.94409,0.80045,0.65468,0.50127,1.04849,4.25842e-05,4.25842e-05,4.25842e-05
149,30151.4,0.40405,0.28896,0.92248,0.92726,0.90919,0.94331,0.80905,0.66131,0.50545,1.05903,3.31528e-05,3.31528e-05,3.31528e-05
150,30354.2,0.41199,0.28699,0.90943,0.92726,0.90896,0.94234,0.81417,0.66436,0.50555,1.05969,2.37214e-05,2.37214e-05,2.37214e-05
